Tiết,Chủ đề,Bài dạy,Yêu cầu cần đạt
77,78,Bài 22. Mạch điện đơn giản (tiết 1,"2), – Vẽ được sơ đồ mạch điện với kí hiệu mô tả: điện trở, biến trở, chuông, ampe kế (ammeter), vôn kế (voltmeter), đi ốt (diode) và đi ốt phát quang."
– Mắc được mạch điện đơn giản với: pin,công tắc,dây nối,bóng đèn.
– Mô tả được sơ lược công dụng của cầu chì,rơ le (relay),cầu dao tự động,chuông điện.
79,80,Bài 23. Tác dụng của dòng điện (tiết 1,"2), – Thực hiện thí nghiệm để minh hoạ được các tác dụng cơ bản của dòng điện: nhiệt, phát sáng, hoá học, sinh lí"
81,Bài 24. Cường độ dòng điện và hiệu điện thế,– Thực hiện thí nghiệm để nêu được số chỉ của ampe kế là giá trị của cường độ dòng điện.,
82,83,Bài 25. Thực hành đo cường độ dòng điện và hiệu điện thế (tiết 1,"2), – Đo được cường độ dòng điện và hiệu điện thế bằng dụng cụ thực hành"
– Vẽ được sơ đồ mạch điện với kí hiệu mô tả: điện trở,biến trở,chuông,"ampe kế (ammeter), vôn kế (voltmeter), đi ốt (diode) và đi ốt phát quang."
84,85,Bài 26. Năng lượng nhiệt và nội năng,"– Nêu được khái niệm năng lượng nhiệt, khái niệm nội năng."
86,87,Bài 27. Thực hành đo năng lượng nhiệt bằng joulemeter (tiết 1,"2), – Đo được năng lượng nhiệt mà vật nhận được khi bị đun nóng (có thể sử dụng joulemeter hay oát kế (wattmeter)"
88,89,90,"Bài 28. Sự truyền nhiệt (tiết 1), – Lấy được ví dụ về hiện tượng dẫn nhiệt, đối lưu, bức xạ nhiệt và mô tả sơ lược được sự truyền năng lượng trong mỗi hiện tượng đó"
91,92,Bài 29. Sự nở vì nhiệt (tiết 1,"2), – Thực hiện thí nghiệm để chứng tỏ được các chất khác nhau nở vì nhiệt khác nhau."
– Vận dụng kiến thức về sự truyền nhiệt,sự nở vì nhiệt,giải thích được một số hiện tượng đơn giản thường gặp trong thực tế,
93,Bài 30. Khái quát về cơ thể người,– Nêu được tên và vai trò chính của các cơ quan và hệ cơ quan trong cơ thể người,
94,95,96,"Bài 31. Hệ vận động ở người (tiết 1, 2, 3), – Nêu được chức năng của hệ vận động ở người."
– Trình bày được một số bệnh,tật liên quan đến hệ vận động và một số bệnh về sức khoẻ học đường liên quan hệ vận động (ví dụ: cong vẹo cột sống). Nêu được một số biện pháp bảo vệ các cơ quan của hệ vận động và cách phòng chống các bệnh,tật.,
97,Ôn tập kiểm tra giữa kì II,YCCĐ trong các bài đã học.,
98,99,Kiểm tra giữa kì II,
100,101,102,"103, Bài 32. Dinh dưỡng và tiêu hóa ở người (tiết 1), – Nêu được khái niệm dinh dưỡng, chất dinh dưỡng. Nêu được mối quan hệ giữa tiêu hoávà dinh dưỡng."
– Trình bày được chức năng của hệ tiêu hoá. – Quan sát hình vẽ (hoặc mô hình,sơ đồ khái quát) hệ tiêu hoá ở người,kể tên được các cơ quan của hệ tiêu hoá. Nêu được chức năng của mỗi cơ quan và sự phối hợp các cơ quan thể hiện chức năng của cả hệ tiêu hoá.,
– Nêu được một số bệnh về đường tiêu hoá và cách phòng và chống (bệnh răng,miệng; bệnh dạ dày; bệnh đường ruột,...).,
+ Nêu được một số nguyên nhân chủ yếu gây ngộ độc thực phẩm. Lấy được ví dụ minh hoạ. Kể được tên một số loại thực phẩm dễ bị mất an toàn vệ sinh thực phẩm do sinh vật,hoá chất,bảo quản,chế biến;
+ Kể được tên một số hoá chất (độc tố),cách chế biến,cách bảo quản gây mất an toàn vệ sinh thực phẩm;,
– Vận dụng được hiểu biết về an toàn vệ sinh thực phẩm để đề xuất các biện pháp lựa chọn,bảo quản,chế biến,chế độ ăn uống an toàn cho bản thân và gia đình; đọc và hiểu được ý nghĩa của các thông tin ghi trên nhãn hiệu bao bì thực phẩm và biết cách sử dụng thực phẩm đó một cách phù hợp.
– Thực hiện được dự án điều tra về vệ sinh an toàn thực phẩm tại địa phương; dự án điều tra một số bệnh đường tiêu hoá trong trường học hoặc tại địa phương (bệnh sâu răng,bệnh dạ dày,...),
104,105,106,"Bài 33. Máu và hệ tuần hoàn của cơ thể người (tiết 1), – Nêu được chức năng của máu và hệ tuần hoàn. – Nêu được các thành phần của máu và chức năng của mỗi thành phần (hồng cầu, bạch cầu, tiểu cầu, huyết tương)."
– Quan sát mô hình (hoặc hình vẽ,sơ đồ khái quát) hệ tuần hoàn ở người,kể tên được các cơ quan của hệ tuần hoàn. Nêu được chức năng của mỗi cơ quan và sự phối hợp các cơ quan thể hiện chức năng của cả hệ tuần hoàn. – Nêu được khái niệm miễn dịch,"kháng nguyên, kháng thể."
+ Thực hiện được tình huống giả định cấp cứu người bị chảy máu,tai biến,đột quỵ; băng bó vết thương khi bị chảy nhiều máu;,
– Thực hiện được dự án,bài tập: Điều tra bệnh cao huyết áp,tiểu đường tại địa phương.,
107,108,109,"Bài 34. Hệ hô hấp ở người (tiết 1, 2), – Nêu được chức năng của hệ hô hấp."
– Quan sát mô hình (hoặc hình vẽ,sơ đồ khái quát) hệ hô hấp ở người,kể tên được các cơ quan của hệ hô hấp. Nêu được chức năng của mỗi cơ quan và sự phối hợp các cơ quan thể hiện chức năng của cả hệ hô hấp.,
110,111,112,"Bài 35. Hệ bài tiết ở người (tiết 1, 2, 3), – Nêu được chức năng của hệ bài tiết."
– Thực hiện được dự án,bài tập: Điều tra bệnh về thận như sỏi thận,viêm thận,... trong trường học hoặc tại địa phương.
113,Bài 36. Điều hòa môi trường trong cơ thể người,– Nêu được khái niệm môi trường trong của cơ thể.,
– Nêu được khái niệm cân bằng môi trường trong và vai trò của sự duy trì ổn định môi trường trong của cơ thể (ví dụ nồng độ glucose,nồng độ muối trong máu,urea,"uric acid, pH)."
114,115,116,"Bài 37. Hệ thần kinh và các giác quan ở người (tiết 1, 2, 3), – Nêu được chức năng của hệ thần kinh và các giác quan."
– Dựa vào hình ảnh kể tên được hai bộ phận của hệ thần kinh là bộ phận trung ương (não,tuỷ sống) và bộ phận ngoại biên (các dây thần kinh,hạch thần kinh).,
– Dựa vào hình ảnh hay sơ đồ,kể tên được các bộ phận của tai ngoài,tai giữa,tai trong và sơ đồ đơn giản quá trình thu nhận âm thanh. Liên hệ được cơ chế truyền âm thanh trong thu nhận âm thanh ở tai.
– Trình bày được một số bệnh về thị giác và thính giác và cách phòng và chống các bệnh đó (ví dụ: bệnh về mắt: bệnh đau mắt đỏ,...; tật về mắt: cận thị,viễn thị,...).
– Tìm hiểu được các bệnh và tật về mắt trong trường học (cận thị,viễn thị,...),tuyên truyền chăm sóc và bảo vệ đôi mắt
117,118,Bài 38. Hệ nội tiết ở người (tiết 1,"2), – Kể được tên và nêu được chức năng của các tuyến nội tiết."
– Nêu được một số bệnh liên quan đến hệ nội tiết (tiểu đường,bướu cổ do thiếu iodine,...) và cách phòng chống các bệnh đó.,
119,120,Bài 39. Da và điều hòa thân nhiệt ở người (tiết 1,"2), – Nêu được cấu tạo sơ lược và chức năng của da. Trình bày được một số bệnh về da và các biện pháp chăm sóc, bảo vệ và làm đẹp da an toàn."
– Trình bày được một số phương pháp chống nóng,lạnh cho cơ thể. Nêu được một số biện pháp chống cảm lạnh,cảm nóng.,
121,Bài 40. Sinh sản ở người,– Nêu được chức năng của hệ sinh dục.,
– Kể tên được một số bệnh lây truyền qua đường sinh dục và trình bày được cách phòng chống các bệnh đó (bệnh HIV/AIDS,giang mai,lậu,...).
122,Bài 41. Môi trường và các nhân tố sinh thái (tiết 1),– Nêu được khái niệm môi trường sống của sinh vật,"phân biệt được 4 môi trường sống chủ yếu: môi trường trên cạn, môi trường dưới nước, môi trường trong đất và môi trường sinh vật. Lấy được ví dụ minh hoạ các môi trường sống của sinh vật."
123,124,Ôn tập kiểm tra cuối kì II,
125,126,Kiểm tra cuối kì II,
127,128,Trả bài kiểm tra cuối kì II,
129,Bài 41. Môi trường và các nhân tố sinh thái (tiết 2),– Nêu được khái niệm nhân tố sinh thái. Phân biệt được nhân tố sinh thái vô sinh và nhân tố hữu sinh (bao gồm cả nhân tố con người). Lấy được ví dụ minh hoạ các nhân tố sinh thái và ảnh hưởng của nhân tố sinh thái lên đời sống sinh vật.,
130,131,Bài 42. Quần thể sinh vật (tiết 1,"2), - Phát biểu được khái niệm quần thể sinh vật. Nêu được các đặc trưng cơ bản của quần thể (đặc trưng về số lượng, giới tính, lứa tuổi, phân bố). Lấy được ví dụ minh hoạ."
132,Bài 43. Quần xã sinh vật,– Phát biểu được khái niệm quần xã sinh vật. Nêu được một số đặc điểm cơ bản của quần xã (Đặc điểm về độ đa dạng: số lượng loài và số cá thể của mỗi loài; đặc điểm về thành phần loài: loài ưu thế,loài đặc trưng). Lấy được ví dụ minh hoạ.
133,134,135,"Bài 44. Hệ sinh thái (tiết 1, 2, 3), – Phát biểu được khái niệm hệ sinh thái. Lấy được ví dụ về các kiểu hệ sinh thái (hệ sinh thái trên cạn, hệ sinh thái nước mặn, hệ sinh thái nước ngọt)."
– Nêu được khái niệm chuỗi,lưới thức ăn; sinh vật sản xuất,sinh vật tiêu thụ,"sinh vật phân giải, tháp sinh thái. Lấy được ví dụ chuỗi thức ăn, lưới thức ăn trong quần xã."
– Nêu được tầm quan trọng của bảo vệ một số hệ sinh thái điển hình của Việt Nam: các hệ sinh thái rừng,hệ sinh thái biển và ven biển,các hệ sinh thái nông nghiệp.,
136,Bài 45. Sinh quyển (tiết 1),– Nêu được khái niệm sinh quyển.,
137,Bài 45. Sinh quyển (tiết 2),– Nêu được khái niệm sinh quyển.,
138,Bài 46. Cân bằng tự nhiên,– Nêu được khái niệm cân bằng tự nhiên. Trình bày được các nguyên nhân gây mất cân bằng tự nhiên,
139,140,Bài 47. Bảo vệ môi trường (tiết 1,"2), – Trình bày được tác động của con người đối với môi trường qua các thời kì phát triển xã hội; tác động của con người làm suy thoái môi trường tự nhiên; vai trò của con người trong bảo vệ và cải tạo môi trường tự nhiên. – Nêu được khái niệm ô nhiễm môi trường. Trình bày được sơ lược về một số nguyên nhân gây ô nhiễm môi trường (ô nhiễm do chất thải sinh hoạt và công nghiệp, ô nhiễm hoá chất bảo vệ thực vật, ô nhiễm phóng xạ, ô nhiễm do sinh vật gây bệnh) và biện pháp hạn chế ô nhiễm môi trường."
– Trình bày được sự cần thiết phải bảo vệ động vật hoang dã,nhất là những loài có nguy cơ bị tuyệt chủng cần được bảo vệ theo Công ước quốc tế về buôn bán các loài động,thực vật hoang dã (CITES) (ví dụ như các loài voi,"tê giác, hổ, sếu đầu đỏ và các loài linh trưởng, …)."
