29,,Bài 10. Đoạn mạch song song (tiết 2),"Tính được điện trở tương đương, cường độ dòng điện và hiệu điện thế trong đoạn mạch song song."
30,,Bài 11. Năng lượng điện. Công suất điện,"Nêu được khái niệm năng lượng điện, công suất điện. Tính được điện năng tiêu thụ."
31,,Ôn tập chủ đề 3,"Hệ thống hóa kiến thức về điện trở, định luật Ohm và các loại mạch điện."
32,,CHỦ ĐỀ 4. ĐIỆN TỪ (5 tiết) Bài 12. Cảm ứng điện từ (tiết 1),Trình bày được hiện tượng cảm ứng điện từ.
33,,Bài 12. Cảm ứng điện từ (tiết 2),Giải thích được nguyên tắc hoạt động của máy phát điện.
34,,Ôn tập,Ôn tập kiến thức học kì I.
"35, 36",,Kiểm tra đánh giá giữa kì I (60 phút),#ERROR!
"37, 38",,"Bài 13. Dòng điện xoay chiều (tiết 1, 2)",Nêu được đặc điểm của dòng điện xoay chiều.
39,,Ôn tập chủ đề 4,Hệ thống hóa kiến thức về điện từ và dòng điện xoay chiều.
40,,CHỦ ĐỀ 5. NĂNG LƯỢNG VỚI CUỘC SỐNG (5 tiết) Bài 14. Năng lượng của Trái Đất. Năng lượng hóa thạch (tiết 1),"Nêu được các nguồn năng lượng chính của Trái Đất, đặc biệt là năng lượng hóa thạch."
41,,Bài 14. Năng lượng của Trái Đất. Năng lượng hóa thạch (tiết 2),Phân tích ưu nhược điểm của năng lượng hóa thạch.
"42, 43",,"Bài 15. Năng lượng tái tạo (tiết 1, 2)","Trình bày được các loại năng lượng tái tạo (mặt trời, gió, nước) và vai trò của chúng."
44,,Ôn tập chủ đề 5,Hệ thống hóa kiến thức về các nguồn năng lượng và mối liên hệ với cuộc sống.
"45, 46",,"CHỦ ĐỀ 6. KIM LOẠI. SỰ KHÁC NHAU CƠ BẢN GIỮA KIM LOẠI VÀ PHI KIM (15 tiết) Bài 16. Tính chất chung của kim loại (tiết 1, 2)",Trình bày được các tính chất vật lí và hóa học chung của kim loại.
"47, 48",,"Bài 17. Dãy hoạt động hoá học của kim loại. Một số phương pháp tách kim loại (tiết 1, 2)",Nêu được ý nghĩa của dãy hoạt động hóa học.
"49, 50, 51, 52",,"Bài 17. Dãy hoạt động hoá học của kim loại. Một số phương pháp tách kim loại (tiết 3, 4, 5, 6)","Trình bày được các phương pháp tách kim loại cơ bản (nhiệt luyện, điện phân)."
"53, 54",,"Bài 18. Giới thiệu về hợp kim (tiết 1, 2)","Nêu được khái niệm, tính chất và ứng dụng của một số hợp kim quan trọng (thép, gang)."
"55, 56",,"Bài 19. Sự khác nhau cơ bản giữa phi kim và kim loại (tiết 1, 2)",Phân biệt được tính chất hóa học cơ bản giữa kim loại và phi kim.
"57, 58",,"Bài 19. Sự khác nhau cơ bản giữa phi kim và kim loại (tiết 3, 4)",Lấy ví dụ minh họa cho sự khác biệt giữa kim loại và phi kim.
"59, 60",,"Ôn tập (tiết 1, 2)",Ôn tập chủ đề 6 và các chủ đề đã học trong học kì I.
"61, 62",,Kiểm tra đánh giá cuối kì I (60 phút),KHOA HỌC TỰ NHIÊN
"63, 64",,Trả bài KTĐG cuối HKI,
65,,Ôn tập chủ đề 6,"Hệ thống hóa kiến thức về kim loại, phi kim và hợp kim."
"66, 67",,"CHỦ ĐỀ 7. HỢP CHẤT HỮU CƠ. HYDROCARBON VÀ NGUỒN NHIÊN LIỆU (9 tiết) Bài 20. Giới thiệu về hợp chất hữu cơ (tiết 1, 2)",Nêu được khái niệm và phân loại hợp chất hữu cơ.
68,,Bài 21. Alkane (tiết 1),"Nêu được công thức chung, tính chất và ứng dụng của Alkane."
69,,Bài 21. Alkane (tiết 2),Viết được phương trình hóa học minh họa tính chất Alkane.
"70, 71",,"Bài 22. Alkene (tiết 1, 2)","Nêu được công thức chung, tính chất và ứng dụng của Alkene. So sánh với Alkane."
72,,Bài 23. Nguồn nhiên liệu (tiết 1),"Trình bày các nguồn nhiên liệu cơ bản (than, dầu mỏ, khí thiên nhiên)."
73,,Bài 23. Nguồn nhiên liệu (tiết 2),Phân tích ảnh hưởng của việc sử dụng nhiên liệu đến môi trường.
74,,Ôn tập chủ đề 7,"Hệ thống hóa kiến thức về hợp chất hữu cơ, hydrocarbon và nhiên liệu."
"75, 76",,"CHỦ ĐỀ 8. ETHYLIC ALCOHOL. ACETIC ACID (6 tiết) Bài 24. Ethylic alcohol (tiết 1, 2)","Nêu được công thức, tính chất và ứng dụng của Ethylic alcohol."
"77, 78, 79",,"Bài 25. Acetic acid (tiết 1, 2, 3)","Nêu được công thức, tính chất (axit) và ứng dụng của Acetic acid."
80,,Ôn tập Chủ đề 8,Hệ thống hóa kiến thức về Ethylic alcohol và Acetic acid.
"81, 82",,"CHỦ ĐỀ 9. LIPID – CARBOHYDRATE – PROTEIN. POLYMER (11 tiết) Bài 26. Lipid và chất béo (tiết 1, 2)","Trình bày được khái niệm, vai trò của Lipid và chất béo."
"83, 84",,"Bài 27. Glucose và saccharose (tiết 1, 2)","Nêu được công thức, tính chất và vai trò của Glucose và Saccharose."
"85, 86",,"Bài 28. Tinh bột và cellulose (tiết 1, 2)","Nêu được cấu tạo, tính chất và ứng dụng của Tinh bột và Cellulose."
"87, 88",,"Bài 29. Protein (tiết 1, 2)","Trình bày được cấu tạo, tính chất và vai trò của Protein."
"89, 90",,"Bài 30. Polymer (tiết 1, 2)","Nêu được khái niệm, phân loại và ứng dụng của Polymer."
91,,Ôn tập chủ đề 9,Hệ thống hóa kiến thức về các hợp chất thiên nhiên và Polymer.
92,,CHỦ ĐỀ 10. KHAI THÁC TÀI NGUYÊN TỪ VỎ TRÁI ĐẤT (6 tiết) Bài 31. Sơ lược về hoá học vỏ Trái Đất và khai thác tài nguyên từ vỏ Trái Đất,Nêu được thành phần hóa học chính của vỏ Trái Đất và các phương pháp khai thác tài nguyên.
"93, 94",,"Bài 32. Khai thác đá vôi. Công nghiệp silicate (tiết 1, 2)",Trình bày các ứng dụng và quá trình khai thác đá vôi và sản xuất vật liệu silicate.
95,,Bài 33. Khai thác nhiên liệu hoá thạch,"Mô tả các phương pháp khai thác than, dầu mỏ, khí thiên nhiên và ảnh hưởng đến môi trường."
96,,Bài 34. Nguồn carbon. Chu trình carbon và sự ấm lên toàn cầu (tiết 1),Nêu được vai trò của Carbon và mô tả sơ lược chu trình Carbon.
97,,Bài 34. Nguồn carbon. Chu trình carbon và sự ấm lên toàn cầu (tiết 2),Giải thích sự ấm lên toàn cầu và vai trò của Carbon Dioxide.
98,,CHỦ ĐỀ 11. DI TRUYỀN (26 tiết) Bài 35. Khái quát về di truyền học,Nêu được khái niệm di truyền học và đối tượng nghiên cứu.
"99, 100",,"Bài 36. Các quy luật di truyền của Mendel (tiết 1, 2)","Trình bày và vận dụng được quy luật phân li, phân li độc lập của Mendel."
101,,Ôn tập.,Ôn tập kiến thức đã học.
"102, 103",,Kiểm tra đánh giá giữa kì II (60 phút),TRUE
104,,Bài 36. Các quy luật di truyền của Mendel (tiết 3),Vận dụng quy luật Mendel giải các bài tập xác suất di truyền.
105,,Bài 36. Các quy luật di truyền của Mendel (tiết 4),Phân tích các ví dụ về quy luật di truyền của Mendel.
"106, 107",,"Bài 37. Nucleic acid và ứng dụng (tiết 1, 2)","Nêu được cấu trúc, chức năng của DNA và RNA."
108,,Bài 38. Đột biến gene,"Trình bày được khái niệm, nguyên nhân và hậu quả của đột biến gene."
"109, 110, 111, 112",,"Bài 39. Quá trình tái bản, phiên mã và dịch mã (tiết 1, 2, 3, 4)","Mô tả được các quá trình tái bản DNA, phiên mã và dịch mã (tổng hợp protein)."
113,,Bài 40. Từ gene đến tính trạng,"Giải thích mối quan hệ giữa gene, enzyme (protein) và tính trạng."
"114, 115",,"Bài 41. Cấu trúc nhiễm sắc thể và đột biến nhiễm sắc thể (tiết 1, 2)","Nêu được cấu trúc, chức năng của NST. Trình bày được các dạng đột biến NST."
116,,Bài 42. Thực hành: Quan sát tiêu bản nhiễm sắc thể,Thực hiện được các bước cơ bản để quan sát tiêu bản NST.
"117, 118, 119, 120",,"Bài 43. Di truyền nhiễm sắc thể (tiết 1, 2, 3, 4)",Trình bày được các quy luật di truyền liên kết với giới tính và di truyền ngoài nhân.
"121, 122",,"Bài 44. Di truyền học với con người (tiết 1, 2)","Nêu được các tật, bệnh di truyền ở người và cách phòng tránh."
"123, 124",,"Ôn tập (tiết 1, 2)",Ôn tập kiến thức chủ đề Di truyền.
"125, 126",,Kiểm tra đánh giá cuối kì II (60 phút),
"127, 128",,Trả bài KTĐG cuối HKII,
"129, 130",,"Bài 44. Di truyền học với con người (tiết 3, 4)",Phân tích các trường hợp bệnh di truyền thường gặp và biện pháp chẩn đoán trước sinh.
131,,Bài 45. Ứng dụng công nghệ di truyền vào đời sống.,"Trình bày được các thành tựu và ứng dụng của công nghệ di truyền trong y học, nông nghiệp."
132,,Ôn tập chủ đề 11,Hệ thống hóa kiến thức về di truyền.
"133, 134, 135",,"CHỦ ĐỀ 12. TIẾN HOÁ (8 tiết) Bài 46. Khái niệm về tiến hoá và các hình thức chọn lọc (tiết 1, 2, 3)","Nêu được khái niệm tiến hóa. Trình bày các hình thức chọn lọc (tự nhiên, nhân tạo)."
136,,Bài 47. Cơ chế tiến hoá (tiết 1),Giải thích được vai trò của đột biến và biến dị tổ hợp trong tiến hóa.
137,,Bài 47. Cơ chế tiến hoá (tiết 2),Trình bày khái quát về sự hình thành loài mới.
"138, 139",,"Bài 48. Phát sinh và phát triển của sự sống trên Trái Đất (tiết 1, 2)",Mô tả các giai đoạn chính trong lịch sử phát triển của sự sống trên Trái Đất.
140,,Ôn tập chủ đề 12,Hệ thống hóa kiến thức về tiến hóa.
