TIẾT,"Nội dung/đơn vị kiến thức
BÀI DẠY",YÊU CẦU CẦN ĐẠT
"31, 32",Kiểm tra giữa kì I,"Nhận biết:
 - Nêu được khái niệm sự biến đổi vật lí, biến đổi hoá học.
 – Nêu được khái niệm phản ứng hoá học, chất đầu và sản phẩm.
 – Nêu được sự sắp xếp khác nhau của các nguyên tử trong phân tử chất đầu và sản phẩm
 – Nêu được khái niệm về phản ứng toả nhiệt, thu nhiệt.
 – Trình bày được các ứng dụng phổ biến của phản ứng toả nhiệt (đốt cháy than, xăng, dầu).
 - Phát biểu được định luật bảo toàn khối lượng.
 – Nêu được khái niệm về mol (nguyên tử, phân tử). 
 – Nêu được khái niệm tỉ khối, viết được công thức tính tỉ khối của chất khí.
 – Nêu được khái niệm thể tích mol của chất khí ở áp suất 1 bar và 25 
 - Nêu được khái niệm hiệu suất của phản ứng 
 – Nêu được dung dịch là hỗn hợp lỏng đồng nhất của các chất đã tan trong nhau.
 – Nêu được định nghĩa độ tan của một chất trong nước, nồng độ phần trăm, nồng độ mol.
 – Nêu được khái niệm về tốc độ phản ứng (chỉ mức độ nhanh hay chậm của phản ứng hoá học).
 - Nêu được khái niệm về chất xúc tác.
 – Nêu được khái niệm acid (tạo ra ion H).
 – Trình bày được một số ứng dụng của một số acid thông dụng (HCl, HSO, CHCOOH).
 Thông hiểu:
 - Phân biệt được sự biến đổi vật lí, biến đổi hoá học. Đưa ra được ví dụ về sự biến đổi vật lí và sự biến đổi hoá học.
 – Chỉ ra được một số dấu hiệu chứng tỏ có phản ứng hoá học xảy ra.
 – Đưa ra được ví dụ minh hoạ về phản ứng toả nhiệt, thu nhiệt.
 – Nêu được khái niệm phương trình hoá học và các bước lập phương trình hoá học.
 – Trình bày được ý nghĩa của phương trình hoá học.
 - Lập được sơ đồ phản ứng hoá học dạng chữ và phương trình hoá học (dùng công thức hoá học) của một số phản ứng hoá học cụ thể.
 – Tính được khối lượng mol (); Chuyển đổi được giữa số mol () và khối lượng ()
 – So sánh được chất khí này nặng hay nhẹ hơn chất khí khác dựa vào công thức tính tỉ khối.
 – Sử dụng được công thức để chuyển đổi giữa số mol và thể tích chất khí ở điều kiện chuẩn: áp suất 1 bar ở 25 .
 - Tính được độ tan, nồng độ phần trăm; nồng độ mol theo công thức.
 - Trình bày được một số yếu tố ảnh hưởng đến tốc độ phản ứng và nêu được một số ứng dụng thực tế.
 - Nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra nhận xét về tính chất của acid.
 Vận dụng:
 – Tính được lượng chất trong phương trình hóa học theo số mol, khối lượng hoặc thể tích ở điều kiện 1 bar và 25 .
 - Tính được hiệu suất của một phản ứng dựa vào lượng sản phẩm thu được theo lí thuyết và lượng sản phẩm thu được theo thực tế.
 - Tiến hành được thí nghiệm và quan sát thực tiễn:
 + So sánh được tốc độ một số phản ứng hoá học;
 + Nêu được các yếu tố làm thay đổi tốc độ phản ứng."
"33, 34, 35","Bài 9. Base. Thang pH (tiết 3, 4, 5)","– Tra được bảng tính tan để biết một hydroxide cụ thể thuộc loại kiềm hoặc base không tan.
 - Liên hệ được pH trong dạ dày, trong máu, trong nước mưa, đất."
"36, 37, 38",Bài 10. Oxide (tiết 1),– Tiến hành được thí nghiệm oxide kim loại phản ứng với acid; oxide phi kim phản ứng với base; nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra nhận xét về tính chất hoá học của oxide.
"39, 40, 41, 42, 43, 44","Bài 11. Muối (tiết 1, 2)","– Nêu được khái niệm về muối (các muối thông thường là hợp chất được hình thành từ sự thay thế ion H+ của acid bởi ion kim loại hoặc ion NH . 4 ) +
  – Chỉ ra được một số muối tan và muối không tan từ bảng tính tan. 
 – Trình bày được một số phương pháp điều chế muối. 
 – Đọc được tên một số loại muối thông dụng. – Tiến hành được thí nghiệm muối phản ứng với kim loại, với acid, với base, với muối; nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra kết luận về tính chất hoá học của muối. 
 – Trình bày được mối quan hệ giữa acid, base, oxide và muối; rút ra được kết luận về tính chất hoá học của acid, base, oxide"
"45, 46, 47","Bài 12. Phân bón hóa học (tiết 1, 2, 3)","- Trình bày được vai trò của phân bón (một trong những nguồn bổ sung một số nguyên tố: đa lượng, trung lượng, vi lượng dưới dạng vô cơ và hữu cơ) cho đất, cây trồng. 
 – Nêu được thành phần và tác dụng cơ bản của một số loại phân bón hoá học đối với câytrồng (phân đạm, phân lân, phân kali, phân N–P–K).
  – Trình bày được ảnh hưởng của việc sử dụng phân bón hoá học (không đúng cách, không đúng liều lượng) đến môi trường của đất, nước và sức khoẻ của con người. – Đề xuất được biện pháp giảm thiểu ô nhiễm của phân bón"
,Chủ đề 3: Khối lượng riêng và áp suất,
"48, 49", Bài 13. Khối lượng riêng (tiết 1),"- Nêu được định nghĩa khối lượng riêng, xác định được khối lượng riêng qua khối lượng và thể tích tương ứng, khối lượng riêng = khối lượng/thể tích. 
 – Liệt kê được một số đơn vị đo khối lượng riêng thường dùng."
"50, 51","Bài 14. Thực hành xác định khối lượng riêng (tiết 1, 2)","– Thực hiện thí nghiệm để xác định được khối lượng riêng của một khối hộp chữ nhật, của một vật có hình dạng bất kì, của một lượng chất lỏng"
"52, 53",Bài 15. Áp suất trên một bề mặt (tiết 1),"– Dùng dụng cụ thực hành, khẳng định được: áp suất sinh ra khi có áp lực tác dụng lên một diện tích bề mặt, áp suất = áp lực/diện tích bề mặt.
  – Liệt kê được một số đơn vị đo áp suất thông dụng.
  – Thảo luận được công dụng của việc tăng, giảm áp suất qua một số hiện tượng thực tế."
"54, 55, 56","Bài 16. Áp suất trong chất lỏng. Áp suất khí quyển (tiết 1, 2, 3)","– Nêu được: Áp suất tác dụng vào chất lỏng sẽ được chất lỏng truyền đi nguyên vẹn theo mọi hướng; lấy được ví dụ minh hoạ.
  – Thực hiện được thí nghiệm để chứng tỏ tồn tại áp suất khí quyển và áp suất này tác dụng theo mọi phương. 
 – Mô tả được sự tạo thành tiếng động trong tai khi tai chịu sự thay đổi áp suất đột ngột. 
 – Giải thích được một số ứng dụng về áp suất không khí trong đời sống (ví dụ như: giác mút, bình xịt, tàu đệm khí)"
"57, 58","Bài 17. Lực đẩy Archimedes (tiết 1, 2)","– Thực hiện thí nghiệm khảo sát tác dụng của chất lỏng lên vật đặt trong chất lỏng, rút ra được: Điều kiện định tính về vật nổi, vật chìm; định luật Archimedes (Acsimet)"
"59, 60",Ôn tập kiểm tra cuối kì I,YCCĐ trong các bài đã học.
"61, 62",Kiểm tra cuối kì I,
"63, 64",Trả bài kiểm tra cuối kì I,
,Chủ đề 4. Tác dụng làm quay của lực ,
"65, 66, 67, 68","Bài 18. Tác dụng làm quay của lực. Moment lực (tiết 1, 2, 3, 4)","– Thực hiện thí nghiệm để mô tả được tác dụng làm quay của lực.
 – Nêu được: tác dụng làm quay của lực lên một vật quanh một điểm hoặc một trục được đặc trưng bằng moment lực"
"69, 70, 71, 72","Bài 19. Đòn bẩy và ứng dụng (tiết 1, 2, 3, 4)","– Dùng dụng cụ đơn giản, minh họa được đòn bẩy có thể làm thay đổi hướng tác dụng của lực. 
 – Lấy được ví dụ về một số loại đòn bẩy khác nhau trong thực tiễn
 – Sử dụng kiến thức, kĩ năng về đòn bẩy để giải quyết được một số vấn đề thực tiễn"
"73, 74","Chủ đề 5: Điện 
 Bài 20. Hiện tượng nhiễm điện do cọ xát (tiết 1, 2)","– Giải thích được sơ lược nguyên nhân một vật cách điện nhiễm điện do cọ xát. 
 – Giải thích được một vài hiện tượng thực tế liên quan đến sự nhiễm điện do cọ xát"
"75, 76","Bài 21. Dòng điện, nguồn điện (tiết 1, 2)","– Định nghĩa được dòng điện là dòng chuyển dời có hướng của các hạt mang điện. 
 – Phân loại được vật dẫn điện, vật không dẫn điện.
 – Nêu được nguồn điện có khả năng cung cấp năng lượng điện và liệt kê được một số nguồn điện thông dụng trong đời sống."
"77, 78","Bài 22. Mạch điện đơn giản (tiết 1, 2)","– Vẽ được sơ đồ mạch điện với kí hiệu mô tả: điện trở, biến trở, chuông, ampe kế (ammeter), vôn kế (voltmeter), đi ốt (diode) và đi ốt phát quang. 
 – Mắc được mạch điện đơn giản với: pin, công tắc, dây nối, bóng đèn. 
 – Mô tả được sơ lược công dụng của cầu chì, rơ le (relay), cầu dao tự động, chuông điện."
"79, 80","Bài 23. Tác dụng của dòng điện (tiết 1, 2)","– Thực hiện thí nghiệm để minh hoạ được các tác dụng cơ bản của dòng điện: nhiệt, phát sáng, hoá học, sinh lí"
81,Bài 24. Cường độ dòng điện và hiệu điện thế,"– Thực hiện thí nghiệm để nêu được số chỉ của ampe kế là giá trị của cường độ dòng điện. 
 – Thực hiện thí nghiệm để nêu được khả năng sinh ra dòng điện của pin (hay ắc quy) được đo bằng hiệu điện thế (còn gọi là điện áp) giữa hai cực của nó. 
 – Nêu được đơn vị đo cường độ dòng điện và đơn vị đo hiệu điện thế."
"82, 83","Bài 25. Thực hành đo cường độ dòng điện và hiệu điện thế (tiết 1, 2)","– Đo được cường độ dòng điện và hiệu điện thế bằng dụng cụ thực hành
 – Vẽ được sơ đồ mạch điện với kí hiệu mô tả: điện trở, biến trở, chuông, ampe kế (ammeter), vôn kế (voltmeter), đi ốt (diode) và đi ốt phát quang."
,Chủ đề 6: Nhiệt ,
"84, 85",Bài 26. Năng lượng nhiệt và nội năng ,"– Nêu được khái niệm năng lượng nhiệt, khái niệm nội năng. 
 – Nêu được: Khi một vật được làm nóng, các phân tử của vật chuyển động nhanh hơn và nội năng của vật tăng."
"86, 87","Bài 27. Thực hành đo năng lượng nhiệt bằng joulemeter (tiết 1, 2)",– Đo được năng lượng nhiệt mà vật nhận được khi bị đun nóng (có thể sử dụng joulemeter hay oát kế (wattmeter)
"88, 89, 90",Bài 28. Sự truyền nhiệt (tiết 1),"– Lấy được ví dụ về hiện tượng dẫn nhiệt, đối lưu, bức xạ nhiệt và mô tả sơ lược được sự truyền năng lượng trong mỗi hiện tượng đó
 – Phân tích được một số ví dụ về công dụng của vật dẫn nhiệt tốt, công dụng của vật cách nhiệt tốt.
 – Mô tả được sơ lược sự truyền năng lượng trong hiệu ứng nhà kính"
"91, 92","Bài 29. Sự nở vì nhiệt (tiết 1, 2)","– Thực hiện thí nghiệm để chứng tỏ được các chất khác nhau nở vì nhiệt khác nhau.
 – Lấy được một số ví dụ về công dụng và tác hại của sự nở vì nhiệt
 – Vận dụng kiến thức về sự truyền nhiệt, sự nở vì nhiệt, giải thích được một số hiện tượng đơn giản thường gặp trong thực tế"
,Chủ đề 7: Sinh học cơ thể người ,
93,Bài 30. Khái quát về cơ thể người,– Nêu được tên và vai trò chính của các cơ quan và hệ cơ quan trong cơ thể người
"94, 95, 96","Bài 31. Hệ vận động ở người (tiết 1, 2, 3)","– Nêu được chức năng của hệ vận động ở người. 
 – Dựa vào sơ đồ (hoặc hình vẽ), mô tả được cấu tạo sơ lược các cơ quan của hệ vận động. Phân tích được sự phù hợp giữa cấu tạo với chức năng của hệ vận động. Liên hệ được kiến thức đòn bẩy vào hệ vận động. 
 – Trình bày được một số bệnh, tật liên quan đến hệ vận động và một số bệnh về sức khoẻ học đường liên quan hệ vận động (ví dụ: cong vẹo cột sống). Nêu được một số biện pháp bảo vệ các cơ quan của hệ vận động và cách phòng chống các bệnh, tật. 
 – Nêu được ý nghĩa của tập thể dục, thể thao và chọn phương pháp luyện tập thể thao phù hợp (tự đề xuất được một chế độ luyện tập cho bản thân nhằm nâng cao thể lực và thể hình
 – Vận dụng được hiểu biết về hệ vận động và các bệnh học đường để bảo vệ bản thân và tuyên truyền, giúp đỡ cho người khác.
  – Vận dụng được hiểu biết về lực và thành phần hoá học của xương để giải thích sự co cơ, khả năng chịu tải của xương. 
 – Nêu được tác hại của bệnh loãng xương
 – Thực hành: Thực hiện được sơ cứu và băng bó khi người khác bị gãy xương; tìm hiểu được tình hình mắc các bệnh về hệ vận động trong trường học và khu dân cư"
97,Ôn tập kiểm tra giữa kì II,YCCĐ trong các bài đã học.
"98, 99",Kiểm tra giữa kì II,
"100, 101, 102, 103",Bài 32. Dinh dưỡng và tiêu hóa ở người (tiết 1),"– Nêu được khái niệm dinh dưỡng, chất dinh dưỡng. Nêu được mối quan hệ giữa tiêu hoávà dinh dưỡng. 
 – Trình bày được chức năng của hệ tiêu hoá. – Quan sát hình vẽ (hoặc mô hình, sơ đồ khái quát) hệ tiêu hoá ở người, kể tên được các cơ quan của hệ tiêu hoá. Nêu được chức năng của mỗi cơ quan và sự phối hợp các cơ quan thể hiện chức năng của cả hệ tiêu hoá. 
 – Trình bày được chế độ dinh dưỡng của con người ở các độ tuổi. 
 – Nêu được nguyên tắc lập khẩu phần thức ăn cho con người. Thực hành xây dựng chế độ dinh dưỡng cho bản thân và những người trong gia đình. 
 – Nêu được một số bệnh về đường tiêu hoá và cách phòng và chống (bệnh răng, miệng; bệnh dạ dày; bệnh đường ruột, ...). 
 – Vận dụng được hiểu biết về dinh dưỡng và tiêu hoá để phòng và chống các bệnh về tiêu hoá cho bản thân và gia đình. 
 – Trình bày được một số vấn đề về an toàn thực phẩm, cụ thể: 
 + Nêu được khái niệm an toàn thực phẩm. Trình bày được một số điều cần biết về vệ sinh thực phẩm; 
 + Nêu được một số nguyên nhân chủ yếu gây ngộ độc thực phẩm. Lấy được ví dụ minh hoạ. Kể được tên một số loại thực phẩm dễ bị mất an toàn vệ sinh thực phẩm do sinh vật, hoá chất, bảo quản, chế biến; 
 + Kể được tên một số hoá chất (độc tố), cách chế biến, cách bảo quản gây mất an toàn vệ sinh thực phẩm; 
 + Trình bày được cách bảo quản, chế biến thực phẩm an toàn; 
 + Trình bày được một số bệnh do mất vệ sinh an toàn thực phẩm và cách phòng và chốngcác bệnh này. 
 – Vận dụng được hiểu biết về an toàn vệ sinh thực phẩm để đề xuất các biện pháp lựa chọn, bảo quản, chế biến, chế độ ăn uống an toàn cho bản thân và gia đình; đọc và hiểu được ý nghĩa của các thông tin ghi trên nhãn hiệu bao bì thực phẩm và biết cách sử dụng thực phẩm đó một cách phù hợp. 
 – Thực hiện được dự án điều tra về vệ sinh an toàn thực phẩm tại địa phương; dự án điều tra một số bệnh đường tiêu hoá trong trường học hoặc tại địa phương (bệnh sâu răng, bệnh dạ dày,...)"
"104, 105, 106",Bài 33. Máu và hệ tuần hoàn của cơ thể người (tiết 1),"– Nêu được chức năng của máu và hệ tuần hoàn. – Nêu được các thành phần của máu và chức năng của mỗi thành phần (hồng cầu, bạch cầu, tiểu cầu, huyết tương).
  – Nêu được khái niệm nhóm máu. Phân tích được vai trò của việc hiểu biết về nhóm máu trong thực tiễn (ví dụ trong cấp cứu phải truyền máu; ý nghĩa của truyền máu, cho máu và tuyên truyền cho người khác).
  – Quan sát mô hình (hoặc hình vẽ, sơ đồ khái quát) hệ tuần hoàn ở người, kể tên được các cơ quan của hệ tuần hoàn. Nêu được chức năng của mỗi cơ quan và sự phối hợp các cơ quan thể hiện chức năng của cả hệ tuần hoàn. – Nêu được khái niệm miễn dịch, kháng nguyên, kháng thể. 
 – Nêu được vai trò vaccine (vacxin) và vai trò của tiêm vaccine trong việc phòng bệnh. 
 – Dựa vào sơ đồ, trình bày được cơ chế miễn dịch trong cơ thể người. Giải thích được vìsao con người sống trong môi trường có nhiều vi khuẩn có hại nhưng vẫn có thể sống khoẻ mạnh. 
 – Nêu được một số bệnh về máu, tim mạch và cách phòng chống các bệnh đó. 
 – Vận dụng được hiểu biết về máu và tuần hoàn để bảo vệ bản thân và gia đình. 
 – Thực hành: 
 + Thực hiện được tình huống giả định cấp cứu người bị chảy máu, tai biến, đột quỵ; băng bó vết thương khi bị chảy nhiều máu; 
 + Thực hiện được các bước đo huyết áp.
  – Thực hiện được dự án, bài tập: Điều tra bệnh cao huyết áp, tiểu đường tại địa phương.
  – Tìm hiểu được phong trào hiến máu nhân đạo ở địa phương"
"107, 108, 109","Bài 34. Hệ hô hấp ở người (tiết 1, 2)","– Nêu được chức năng của hệ hô hấp. 
 – Quan sát mô hình (hoặc hình vẽ, sơ đồ khái quát) hệ hô hấp ở người, kể tên được các cơ quan của hệ hô hấp. Nêu được chức năng của mỗi cơ quan và sự phối hợp các cơ quan thể hiện chức năng của cả hệ hô hấp. 
 – Nêu được một số bệnh về phổi, đường hô hấp và cách phòng chống. 
 – Vận dụng được hiểu biết về hô hấp để bảo vệ bản thân và gia đình.
  – Trình bày được vai trò của việc chống ô nhiễm không khí liên quan đến các bệnh về hô hấp. 
 – Điều tra được một số bệnh về đường hô hấp trong trường học hoặc tại địa phương, nêu được nguyên nhân và cách phòng tránh. 
 – Tranh luận trong nhóm và đưa ra được quan điểm nên hay không nên hút thuốc lá vàkinh doanh thuốc lá.
  – Thực hành: 
 + Thực hiện được tình huống giả định hô hấp nhân tạo, cấp cứu người đuối nước; 
 + Thiết kế được áp phích tuyên truyền không hút thuốc lá."
"110, 111, 112","Bài 35. Hệ bài tiết ở người (tiết 1, 2, 3)","– Nêu được chức năng của hệ bài tiết.
  – Dựa vào hình ảnh hay mô hình, kể tên được các cơ quan của hệ bài tiết nước tiểu.
  – Dựa vào hình ảnh sơ lược, kể tên được các bộ phận chủ yếu của thận. 
 – Trình bày được một số bệnh về hệ bài tiết và cách phòng chống các bệnh đó. 
 – Vận dụng được hiểu biết về hệ bài tiết để bảo vệ sức khoẻ. 
 – Thực hiện được dự án, bài tập: Điều tra bệnh về thận như sỏi thận, viêm thận,... trong trường học hoặc tại địa phương.
  – Tìm hiểu được một số thành tựu ghép thận, chạy thận nhân tạo"
113,Bài 36. Điều hòa môi trường trong cơ thể người,"– Nêu được khái niệm môi trường trong của cơ thể. 
 – Nêu được khái niệm cân bằng môi trường trong và vai trò của sự duy trì ổn định môi trường trong của cơ thể (ví dụ nồng độ glucose, nồng độ muối trong máu, urea, uric acid, pH).
  – Đọc và hiểu được thông tin một ví dụ cụ thể về kết quả xét nghiệm nồng độ đường và uric acid trong máu"
"114, 115, 116","Bài 37. Hệ thần kinh và các giác quan ở người (tiết 1, 2, 3)","– Nêu được chức năng của hệ thần kinh và các giác quan. 
 – Dựa vào hình ảnh kể tên được hai bộ phận của hệ thần kinh là bộ phận trung ương (não, tuỷ sống) và bộ phận ngoại biên (các dây thần kinh, hạch thần kinh). 
 – Trình bày được một số bệnh về hệ thần kinh và cách phòng các bệnh đó. 
 – Nêu được tác hại của các chất gây nghiện đối với hệ thần kinh. Không sử dụng các chất gây nghiện và tuyên truyền hiểu biết cho người khác. 
 – Nêu được chức năng của các giác quan thị giác và thính giác. 
 – Dựa vào hình ảnh hay sơ đồ, kể tên được các bộ phận của mắt và sơ đồ đơn giản quá trình thu nhận ánh sáng. Liên hệ được kiến thức truyền ánh sáng trong thu nhận ánh sáng ở mắt. 
 – Dựa vào hình ảnh hay sơ đồ, kể tên được các bộ phận của tai ngoài, tai giữa, tai trong và sơ đồ đơn giản quá trình thu nhận âm thanh. Liên hệ được cơ chế truyền âm thanh trong thu nhận âm thanh ở tai. 
 – Trình bày được một số bệnh về thị giác và thính giác và cách phòng và chống các bệnh đó (ví dụ: bệnh về mắt: bệnh đau mắt đỏ, ...; tật về mắt: cận thị, viễn thị, ...). 
 – Vận dụng được hiểu biết về các giác quan để bảo vệ bản thân và người thân trong gia đình; 
 – Tìm hiểu được các bệnh và tật về mắt trong trường học (cận thị, viễn thị,...), tuyên truyền chăm sóc và bảo vệ đôi mắt"
"117, 118","Bài 38. Hệ nội tiết ở người (tiết 1, 2)","– Kể được tên và nêu được chức năng của các tuyến nội tiết.
  – Nêu được một số bệnh liên quan đến hệ nội tiết (tiểu đường, bướu cổ do thiếu iodine, ...) và cách phòng chống các bệnh đó. 
 – Vận dụng được hiểu biết về các tuyến nội tiết để bảo vệ sức khoẻ bản thân và người thân trong gia đình. 
 – Tìm hiểu được các bệnh nội tiết ở địa phương (ví dụ bệnh tiểu đường, bướu cổ)."
"119, 120","Bài 39. Da và điều hòa thân nhiệt ở người (tiết 1, 2)","– Nêu được cấu tạo sơ lược và chức năng của da. Trình bày được một số bệnh về da và các biện pháp chăm sóc, bảo vệ và làm đẹp da an toàn. 
 – Nêu được khái niệm thân nhiệt. Thực hành được cách đo thân nhiệt và nêu được ý nghĩa của việc đo thân nhiệt. 
 – Nêu được vai trò và cơ chế duy trì thân nhiệt ổn định ở người. 
 – Nêu được vai trò của da và hệ thần kinh trong điều hoà thân nhiệt.
  – Trình bày được một số phương pháp chống nóng, lạnh cho cơ thể. Nêu được một số biện pháp chống cảm lạnh, cảm nóng. 
 – Vận dụng được hiểu biết về da để chăm sóc da, trang điểm an toàn cho da. 
 – Thực hiện được tình huống giả định cấp cứu khi cảm nóng hoặc lạnh. 
 – Tìm hiểu được các bệnh về da trong trường học hoặc trong khu dân cư.
  – Tìm hiểu được một số thành tựu ghép da trong y học"
121,Bài 40. Sinh sản ở người,"– Nêu được chức năng của hệ sinh dục. 
 – Kể tên được các cơ quan và trình bày được chức năng của các cơ quan sinh dục nam và nữ. 
 – Nêu được khái niệm thụ tinh và thụ thai. 
 – Nêu được hiện tượng kinh nguyệt và cách phòng tránh thai.
  – Kể tên được một số bệnh lây truyền qua đường sinh dục và trình bày được cách phòng chống các bệnh đó (bệnh HIV/AIDS, giang mai, lậu,...). 
 – Nêu được ý nghĩa và các biện pháp bảo vệ sức khoẻ sinh sản vị thành niên. Vận dụng được hiểu biết về sinh sản để bảo vệ sức khoẻ bản thân. 
 – Điều tra được sự hiểu biết của học sinh trong trường về sức khoẻ sinh sản vị thành niên (an toàn tình dục)"
,Chủ đề 8: Sinh vật và môi trường ,
122,Bài 41. Môi trường và các nhân tố sinh thái (tiết 1),"– Nêu được khái niệm môi trường sống của sinh vật, phân biệt được 4 môi trường sống chủ yếu: môi trường trên cạn, môi trường dưới nước, môi trường trong đất và môi trường sinh vật. Lấy được ví dụ minh hoạ các môi trường sống của sinh vật."
"123, 124",Ôn tập kiểm tra cuối kì II,
"125, 126",Kiểm tra cuối kì II,
"127, 128",Trả bài kiểm tra cuối kì II,
129,Bài 41. Môi trường và các nhân tố sinh thái (tiết 2),"– Nêu được khái niệm nhân tố sinh thái. Phân biệt được nhân tố sinh thái vô sinh và nhân tố hữu sinh (bao gồm cả nhân tố con người). Lấy được ví dụ minh hoạ các nhân tố sinh thái và ảnh hưởng của nhân tố sinh thái lên đời sống sinh vật. 
 – Trình bày được sơ lược khái niệm về giới hạn sinh thái, lấy được ví dụ minh hoạ"
"130, 131","Bài 42. Quần thể sinh vật (tiết 1, 2)","- Phát biểu được khái niệm quần thể sinh vật. Nêu được các đặc trưng cơ bản của quần thể (đặc trưng về số lượng, giới tính, lứa tuổi, phân bố). Lấy được ví dụ minh hoạ.
 – Nêu được một số biện pháp bảo vệ quần thể."
